fips,district,year,enrollment,cs_score,locale,is_rural,enrollment_log10
4003210,Arkoma,2023,373,-0.6403605735679903,22-Suburb: Mid-size,0,2.571708831808688
4003210,Arkoma,2022,380,-0.5650553828545345,22-Suburb: Mid-size,0,2.57978359661681
4003210,Arkoma,2019,406,-0.0338850967166474,22-Suburb: Mid-size,0,2.6085260335771943
4003210,Arkoma,2018,403,-0.051521873898462,22-Suburb: Mid-size,0,2.6053050461411096
4003210,Arkoma,2017,422,-0.0963666228770917,22-Suburb: Mid-size,0,2.625312450961674
4003210,Arkoma,2016,398,-0.1816491985093055,22-Suburb: Mid-size,0,2.5998830720736876
4003210,Arkoma,2015,423,0.0130383154955248,22-Suburb: Mid-size,0,2.6263403673750423
4003210,Arkoma,2014,414,-0.0243650964510761,22-Suburb: Mid-size,0,2.617000341120899
4003240,Arnett,2024,156,0.4813153712808941,43-Rural: Remote,1,2.1931245983544616
4003240,Arnett,2023,162,0.5777290869778969,43-Rural: Remote,1,2.2095150145426308
4003240,Arnett,2022,154,0.2078828434303834,43-Rural: Remote,1,2.187520720836463
4003240,Arnett,2019,173,0.1123939086436735,43-Rural: Remote,1,2.2380461031287955
4003240,Arnett,2018,177,0.3014206849920936,43-Rural: Remote,1,2.247973266361807
4003240,Arnett,2017,200,0.0482159743065829,43-Rural: Remote,1,2.3010299956639813
4003240,Arnett,2016,212,-0.0336087688568177,43-Rural: Remote,1,2.326335860928751
4003240,Arnett,2015,209,-0.0064049174782998,43-Rural: Remote,1,2.3201462861110542
4003240,Arnett,2014,203,0.1828069762958296,43-Rural: Remote,1,2.307496037913213
4003300,Asher,2024,279,-0.2285149728579279,43-Rural: Remote,1,2.4456042032735974
4003300,Asher,2023,278,-0.1435408247575248,43-Rural: Remote,1,2.444044795918076
4003300,Asher,2022,259,-0.2429683285642675,43-Rural: Remote,1,2.413299764081252
4003300,Asher,2019,285,-0.1054543934867221,43-Rural: Remote,1,2.45484486000851
4003300,Asher,2018,307,-0.0617095082129808,43-Rural: Remote,1,2.4871383754771865
4003300,Asher,2017,284,-0.0704980850374191,43-Rural: Remote,1,2.4533183400470375
4003300,Asher,2016,257,2.93787571412e-5,43-Rural: Remote,1,2.4099331233312946
4003300,Asher,2015,274,-0.080071262309578,43-Rural: Remote,1,2.437750562820388
4003300,Asher,2014,267,-0.1560882024339891,43-Rural: Remote,1,2.4265112613645754
4003360,Atoka,2024,862,-0.103724195191548,43-Rural: Remote,1,2.9355072658247128
4003360,Atoka,2023,868,-0.3009467222035626,43-Rural: Remote,1,2.938519725176492
4003360,Atoka,2022,870,-0.3774332868130442,43-Rural: Remote,1,2.9395192526186187
4003360,Atoka,2019,890,-0.0174189209369788,43-Rural: Remote,1,2.949390006644913
4003360,Atoka,2018,879,-0.0309575639338759,43-Rural: Remote,1,2.9439888750737717
4003360,Atoka,2017,945,-0.0232395044599074,43-Rural: Remote,1,2.975431808509263
4003360,Atoka,2016,996,0.1067048770986759,43-Rural: Remote,1,2.998259338423699
4003360,Atoka,2015,941,0.0688026530325309,43-Rural: Remote,1,2.973589623427257
4003360,Atoka,2014,842,-0.2289192159152208,43-Rural: Remote,1,2.9253120914996495
4003450,Avant,2022,81,-0.9976097372180536,42-Rural: Distant,1,1.9084850188786497
4003450,Avant,2019,93,-0.5412599510444028,42-Rural: Distant,1,1.968482948553935
4003450,Avant,2018,90,-0.57727974583791275,42-Rural: Distant,1,1.954242509439325
4003450,Avant,2017,65,-0.4811963544626029,42-Rural: Distant,1,1.8129133566428555
4003450,Avant,2016,78,-0.5648199943397255,42-Rural: Distant,1,1.8920946026904804
4003450,Avant,2015,80,-0.7010833422731066,42-Rural: Distant,1,1.9030899869919435
4003450,Avant,2014,92,-0.7986528540018518,42-Rural: Distant,1,1.9637878273455553
4003510,Balko,2024,145,0.0794767833616659,43-Rural: Remote,1,2.161368002234975
4003510,Balko,2023,137,0.2029862254616498,43-Rural: Remote,1,2.1367205671564067
4003510,Balko,2022,151,0.441477450632586,43-Rural: Remote,1,2.1789769472931693
4003510,Balko,2019,150,0.2947230426536191,43-Rural: Remote,1,2.1760912590556813
4003510,Balko,2018,163,0.0354021822647024,43-Rural: Remote,1,2.2121876044039577
4003510,Balko,2017,160,0.1433748598227668,43-Rural: Remote,1,2.2041199826559246
4003510,Balko,2016,162,0.0605099140058746,43-Rural: Remote,1,2.2095150145426308
4003510,Balko,2015,151,0.0571011293868043,43-Rural: Remote,1,2.1789769472931693
4003510,Balko,2014,152,-0.0910502642481254,43-Rural: Remote,1,2.1818435879447726
4003540,Banner,2024,319,0.0159306129557033,41-Rural: Fringe,1,2.503790683057181
4003540,Banner,2023,290,0.129392542996536,41-Rural: Fringe,1,2.462397997898956
4003540,Banner,2022,305,0.0905537553774961,41-Rural: Fringe,1,2.484299839346786
4003540,Banner,2019,259,0.3513885422707583,41-Rural: Fringe,1,2.413299764081252
4003540,Banner,2018,228,0.3803689054690932,41-Rural: Fringe,1,2.357934847000454
4003540,Banner,2017,234,0.3924762433127454,41-Rural: Fringe,1,2.369215857410143
4003540,Banner,2016,204,0.3188647424617678,41-Rural: Fringe,1,2.3096301674258988
4003540,Banner,2015,209,0.1120541672000932,41-Rural: Fringe,1,2.3201462861110542
4003540,Banner,2014,189,0.2713820265057027,41-Rural: Fringe,1,2.2764618041732443
4003570,Barnsdall,2024,447,-0.2538838550173262,42-Rural: Distant,1,2.6503075231319366
4003570,Barnsdall,2023,435,-0.3028392675386372,42-Rural: Distant,1,2.6384892569546374
4003570,Barnsdall,2022,397,-0.4394354268602845,42-Rural: Distant,1,2.598790506763115
4003570,Barnsdall,2019,423,-0.2303031028396235,42-Rural: Distant,1,2.6263403673750423
4003570,Barnsdall,2018,418,-0.1555339175188355,42-Rural: Distant,1,2.621176281775035
4003570,Barnsdall,2017,418,-0.0090474677092628,42-Rural: Distant,1,2.621176281775035
4003570,Barnsdall,2016,433,0.0064420477366616,42-Rural: Distant,1,2.6364878963533656
4003570,Barnsdall,2015,435,-0.0134249127712962,42-Rural: Distant,1,2.6384892569546374
4003570,Barnsdall,2014,438,-0.1533917897671919,42-Rural: Distant,1,2.6414741105040997
4003630,Bartlesville,2024,6173,-0.1785045077902882,32-Town: Distant,0,3.7904962769671093
4003630,Bartlesville,2023,6182,-0.1707004742674353,32-Town: Distant,0,3.791129000727286
4003630,Bartlesville,2022,6078,-0.1615248066428442,32-Town: Distant,0,3.7837606957439243
4003630,Bartlesville,2019,5971,0.065269079107236,32-Town: Distant,0,3.7760470711817797
4003630,Bartlesville,2018,5986,0.1369222804632007,32-Town: Distant,0,3.7771367125041726
4003630,Bartlesville,2017,6050,0.154409697709946,32-Town: Distant,0,3.781755374652469
4003630,Bartlesville,2016,6099,0.2585427835795642,32-Town: Distant,0,3.785258633357701
4003630,Bartlesville,2015,6069,0.3030170245159066,32-Town: Distant,0,3.7831171374904673
4003630,Bartlesville,2014,6062,0.3756271066990658,32-Town: Distant,0,3.7826159320316033
