fips_full,district_name,year,cs_score,cs_score_se,cs_score_se_adj
4029670,Tenkiller,2018,-0.2484608977071291,0.0534031484381271,0.0544534587032487
4029670,Tenkiller,2019,-0.0925252688909826,0.056626281827626,0.0585263381103758
4029670,Tenkiller,2022,-0.2806236465704575,0.0581634533830658,0.0610209295238323
4029670,Tenkiller,2023,-0.3338245327354283,0.058279665198284,0.0598143952547708
4029670,Tenkiller,2024,-0.2131785361508226,0.0697222145920909,0.0724203422313443
4029760,Terral,2014,-0.6834921059276567,0.1075271213112864,0.1080569159623415
4029760,Terral,2015,-0.5759182539717848,0.1198470447995037,0.1209414747248426
4029760,Terral,2016,-0.5075443915848893,0.1100456350279076,0.1106098675603097
4029760,Terral,2017,-0.2757828134066293,0.0964483826448247,0.0976539866347051
4029760,Terral,2018,-0.3687167190505822,0.1190870254152956,0.1195617101078143
4029820,Texhoma,2014,0.1567413290678388,0.0875964471036966,0.0882459790301584
4029820,Texhoma,2015,-0.3308471221089354,0.0871223795087858,0.0886218662222726
4029820,Texhoma,2016,-0.5726328872089694,0.0845867795987245,0.0853195422860262
4029820,Texhoma,2017,-0.3778668465250871,0.0905685295588541,0.0918513425993418
4029820,Texhoma,2018,-0.3407615042050924,0.0924652220332354,0.0930757765871298
4029820,Texhoma,2019,-0.4595446274316229,0.0926693454300905,0.0938424426441988
4029820,Texhoma,2022,-0.2555317945178608,0.1031933935391125,0.1048305442160184
4029820,Texhoma,2023,-0.0312255123668563,0.1137218408010177,0.1145159359182899
4029820,Texhoma,2024,-0.0116162992634638,0.1324760717511775,0.1339157509328256
4029850,Thackerville,2014,-0.0781759854046975,0.0557964497821372,0.0568107303076716
4029850,Thackerville,2015,-0.2166931425712955,0.0510760831740305,0.0535937723419985
4029850,Thackerville,2016,-0.1503239912364455,0.0529404378941719,0.0541035209338588
4029850,Thackerville,2017,-0.0967596515217687,0.0511717885860965,0.0534093862345262
4029850,Thackerville,2018,-0.1593307514387764,0.0576344666344788,0.0586089979941871
4029850,Thackerville,2019,-0.2549619267549242,0.0610708449324106,0.0628366498132009
4029850,Thackerville,2022,-0.6581498336217402,0.069615412847667,0.0720199433244678
4029850,Thackerville,2023,-0.6121170308083242,0.0713013245355464,0.072561156169077
4029850,Thackerville,2024,-0.3884258632069516,0.0695390334061517,0.0722440027153904
4029886,Mountain View-Gotebo,2014,0.354873225164839,0.0521425957770089,0.0532265494294434
4029886,Mountain View-Gotebo,2015,0.3847419263129085,0.0504536875767087,0.0530009504776435
4029886,Mountain View-Gotebo,2016,0.2039571819429876,0.0518599377279979,0.0530467167142853
4029886,Mountain View-Gotebo,2017,0.0952708174945022,0.0511832968854403,0.0534204124929016
4029886,Mountain View-Gotebo,2018,0.0890948482689852,0.052745037158301,0.0538081949750438
4029886,Mountain View-Gotebo,2019,0.3113184460100411,0.0540006476341779,0.055989877691409
4029886,Mountain View-Gotebo,2022,0.1088909090838756,0.0711878810339083,0.0735410153357045
4029886,Mountain View-Gotebo,2023,-0.1219483569426079,0.0713119387672909,0.0725715861396161
4029886,Mountain View-Gotebo,2024,-0.2246445600773886,0.0674918284829872,0.0702756406819348
4030030,Tipton,2014,-0.3257791730914416,0.0576065980307161,0.0585895503180639
4030030,Tipton,2015,-0.3898914168702908,0.0595917315700569,0.0617632628102111
4030030,Tipton,2016,-0.5839568698903089,0.0564871036645081,0.0575785888453226
4030030,Tipton,2017,-0.5930973379401682,0.0618601649922859,0.0637235482668806
4030030,Tipton,2018,-0.5701340058989401,0.0626726658118747,0.0635700081926117
4030030,Tipton,2019,-0.5412095784201355,0.0601628854138863,0.0619545740063856
4030030,Tipton,2022,-0.3029375849749553,0.0767995510984169,0.0789856795845095
4030030,Tipton,2023,-0.2839004073242525,0.0768661278618122,0.0780361718470244
4030030,Tipton,2024,-0.2473744035170544,0.0814821059562768,0.0838024603000973
4030048,Woodland,2014,-0.2103685499111499,0.0503634833401288,0.0514849077298568
4030048,Woodland,2015,-0.1762826526121046,0.0445247517777115,0.0473917680859483
4030048,Woodland,2016,-0.2811670798318863,0.0490465120965284,0.0502997153257225
4030048,Woodland,2017,-0.3030523615022825,0.0445582420917607,0.0471110128224451
4030048,Woodland,2018,-0.3410080997574538,0.0443342228985524,0.0455939274647438
4030048,Woodland,2019,-0.3650996844859573,0.0468878193463174,0.0491656797170669
4030048,Woodland,2022,-0.454523744374699,0.0529524721278283,0.056076116439683
4030048,Woodland,2023,-0.0888334488001869,0.0579467299647341,0.0594900497367054
4030048,Woodland,2024,-0.1161104888324452,0.0524116530643079,0.0559508725420152
4030060,Tishomingo,2014,-0.188221306620184,0.0362472779719859,0.0377899514445156
4030060,Tishomingo,2015,-0.2276331847115296,0.0347840100568401,0.0383855899665465
4030060,Tishomingo,2016,-0.2626136107768478,0.0348067334939794,0.0365514665852785
4030060,Tishomingo,2017,-0.2401187921996011,0.0344308753351768,0.0376761962941473
4030060,Tishomingo,2018,-0.3378580067311262,0.0358690217599696,0.0374148316000347
4030060,Tishomingo,2019,-0.3343691223818823,0.0363173026833371,0.039214065501825
4030060,Tishomingo,2022,-0.4767800220591329,0.0372187173957377,0.0415427425080751
4030060,Tishomingo,2023,-0.4217655257398756,0.0368115812573398,0.0391961097398148
4030060,Tishomingo,2024,-0.3377535042614673,0.0370988478824535,0.0419504859981965
4030120,Tonkawa,2014,0.1011184581743004,0.0399673991480763,0.0413715876473466
4030120,Tonkawa,2015,0.0243854274316261,0.0388738851429965,0.0421272489910791
4030120,Tonkawa,2016,0.0087512778087612,0.0404339979144306,0.0419453120188418
4030120,Tonkawa,2017,0.0140202085267667,0.0374427983524416,0.0404471722041262
4030120,Tonkawa,2018,0.0589324152468732,0.0380039286203575,0.0394662069652382
4030120,Tonkawa,2019,-0.0934413379754077,0.0380145692197604,0.0407909785608565
4030120,Tonkawa,2022,-0.3984401661645234,0.0377756968751167,0.0420424761985917
4030120,Tonkawa,2023,-0.4691925422749095,0.0384204517879214,0.0407108538311084
4030120,Tonkawa,2024,-0.4489974734954255,0.0397861663007204,0.0443447605720003
4030197,Porter Consolidated,2014,-0.2503077355259792,0.0417046288639688,0.0430521931901478
4030197,Porter Consolidated,2015,-0.1667339716268371,0.0432072143245006,0.046156142940337
4030197,Porter Consolidated,2016,-0.3416940128572619,0.0424670952360073,0.043908486546429
4030197,Porter Consolidated,2017,-0.4317488830010113,0.0463777576698101,0.0488355095942314
4030197,Porter Consolidated,2018,-0.4046002891248297,0.046051694814086,0.0472656481695904
4030197,Porter Consolidated,2019,-0.4256563306471069,0.0492072815231664,0.0513824193074679
4030197,Porter Consolidated,2022,-0.5946463833650418,0.050744180747831,0.0539957258519319
4030197,Porter Consolidated,2023,-0.5777753923310912,0.049564877980808,0.0513606817840482
4030197,Porter Consolidated,2024,-0.5651350256311795,0.0550862522166888,0.0584637831872015
4030240,Tulsa,2014,-0.5682352631746302,0.0063724699528027,0.0124428149186511
4030240,Tulsa,2015,-0.5503897142174698,0.0061326381391093,0.0173532536427825
4030240,Tulsa,2016,-0.5744992550061111,0.0062342300081232,0.0127814958752097
4030240,Tulsa,2017,-0.6530294012057367,0.0075981313845949,0.0170804622708579
4030240,Tulsa,2018,-0.659355550001209,0.0077558343383346004,0.0131695052270567
4030240,Tulsa,2019,-0.6894475094477237,0.0075951327714746,0.016627762952503
4030240,Tulsa,2022,-1.116889968382012,0.0112980942278465,0.0216382407716003
4030240,Tulsa,2023,-1.143026920154551,0.0117539844920619,0.0178717278266402
4030240,Tulsa,2024,-1.120872580065577,0.0121517196400036,0.0230474087803532
4030270,Tupelo,2014,-0.3874640352092741,0.0555913541452217,0.0566093095303228
4030270,Tupelo,2015,-0.3819764555126948,0.0539129114258323,0.0563038913384779
4030270,Tupelo,2016,-0.2833850682076354,0.0552221917049958,0.0563381883780188
4030270,Tupelo,2017,-0.457139336069845,0.0576208065391892,0.0596168427298469
4030270,Tupelo,2018,-0.2862903155475516,0.0581475520659392,0.0591136254420493
4030270,Tupelo,2019,-0.4063303071602389,0.0604348394604627,0.0622186971866191
4030270,Tupelo,2022,-0.2931279306625487,0.076624010089397,0.0788150077884184
4030270,Tupelo,2023,-0.1793266805122374,0.0797976322740573,0.0809253027218035
4030270,Tupelo,2024,0.0752605708072865,0.074649951347512,0.0771759936603693
4030290,Turkey Ford,2014,-0.221371020950998,0.1545996195097034,0.1549685697886688
4030290,Turkey Ford,2015,-0.4513154009941964,0.1650135819719149,0.1658101577004478
4030290,Turkey Ford,2016,-0.4571529431401393,0.1202874830222548,0.120803888947513
4030290,Turkey Ford,2017,-0.5292924529830607,0.1357542855423475,0.1366134570017238
4030290,Turkey Ford,2018,-0.6880461508937405,0.1464057725205058,0.1467921425995543
4030290,Turkey Ford,2019,-0.4871425081243247,0.1993572681616175,0.1999052696350233
4030290,Turkey Ford,2022,-0.1251981419641323,0.1212917791986626,0.1226876612854184
4030290,Turkey Ford,2023,0.0893077105887603,0.1174518335359822,0.1182208767732415
4030300,Turner,2014,-0.0593599442110459,0.0513317978323804,0.0524325160420974
4030300,Turner,2015,0.1186655560726932,0.0636900120998447,0.0657262793920655
4030300,Turner,2016,-0.1274055982841946,0.052860963857935,0.0540257578660747
4030300,Turner,2017,-0.1595086703126344,0.0565729650541091,0.0586047008853563
4030300,Turner,2018,-0.2019328672519232,0.0543527391441804,0.0553850444986469
4030300,Turner,2019,-0.4119385980586138,0.0535527735719731,0.0555580418682959
4030300,Turner,2022,-0.4086943757375151,0.0631422480299628,0.0657838127261242
4030300,Turner,2023,-0.4796009977853429,0.0631811342626831,0.0645995219083629
4030300,Turner,2024,-0.5420300263603093,0.0621515100298565,0.0651638623799327
4030330,Turpin,2014,-0.0491261321076039,0.0534818769502476,0.0545392192089496
4030330,Turpin,2015,0.1476281243587005,0.0542829938758569,0.0566583584793259
4030330,Turpin,2016,0.1307211029101038,0.0513302712524623,0.0525290182648141
4030330,Turpin,2017,-0.0176527626657213,0.0498366111712089,0.0521315490262748
4030330,Turpin,2018,-0.0153112662617027,0.0488874934947223,0.0500326885329811
4030330,Turpin,2019,-0.0724110573544915,0.0496989025058612,0.0518534219630238
4030330,Turpin,2022,-0.5038192110410467,0.0557623460305308,0.0587367497001417
4030330,Turpin,2023,-0.4706958793713594,0.0564579353091488,0.0580408559847449
4030330,Turpin,2024,-0.5405830658576756,0.0607157947619249,0.0637959755380513
4030360,Tushka,2014,0.5557392448353525,0.0511279481663554,0.0522329623274609
